symbol,fiscal_year,is_standard_period,roe,debt_to_equity,book_value_cr,bv_per_share,eps,net_profit_cr,equity_cr,borrowings_cr,revenue_cr,interest_expense_cr,revenue_growth_pct,earnings_growth_pct
ADANIGREEN,Mar 2026,True,9.95,518.63,19965.0,12122.04,1206.44,1987.0,19965.0,103545.0,12928.0,6484.0,15.31,-0.7
ADANIPORTS,Mar 2015,True,21.59,165.13,10765.0,26002.42,5613.53,2324.0,10765.0,17776.0,6152.0,1175.0,,
ADANIPORTS,Mar 2016,True,21.15,165.44,13505.0,32620.77,6898.55,2856.0,13505.0,22342.0,7109.0,1124.0,15.56,22.89
ADANIPORTS,Mar 2017,True,22.26,126.75,17526.0,42333.33,9425.12,3902.0,17526.0,22214.0,8439.0,1116.0,18.71,36.62
ADANIPORTS,Mar 2018,True,17.65,107.02,20903.0,50490.34,8913.04,3690.0,20903.0,22370.0,11323.0,1579.0,34.17,-5.43
ADANIPORTS,Mar 2019,True,16.6,113.7,24372.0,58869.57,9770.53,4045.0,24372.0,27712.0,10925.0,1385.0,-3.51,9.62
ADANIPORTS,Mar 2020,True,14.87,118.8,25457.0,62701.97,9322.66,3785.0,25457.0,30242.0,11873.0,1951.0,8.68,-6.43
ADANIPORTS,Mar 2021,True,16.59,117.79,30441.0,74977.83,12435.96,5049.0,30441.0,35855.0,12550.0,2255.0,5.7,33.39
ADANIPORTS,Mar 2022,True,11.84,114.62,41821.0,99101.9,11736.97,4953.0,41821.0,47935.0,17119.0,2544.0,36.41,-1.9
ADANIPORTS,Mar 2023,True,11.88,117.72,45389.0,105067.13,12479.17,5391.0,45389.0,53434.0,20852.0,2363.0,21.81,8.84
ADANIPORTS,Mar 2024,True,15.35,93.73,52778.0,122171.3,18759.26,8104.0,52778.0,49470.0,26711.0,2733.0,28.1,50.32
ADANIPORTS,Mar 2025,True,17.76,82.9,62269.0,144141.2,25604.17,11061.0,62269.0,51621.0,30475.0,2813.0,14.09,36.49
ADANIPORTS,Mar 2026,True,13.32,66.24,95959.0,208154.01,27726.68,12782.0,95959.0,63566.0,38736.0,4654.0,27.11,15.56
ADANIPOWER,Mar 2015,True,-14.25,781.52,5725.0,1993.38,-284.12,-816.0,5725.0,44742.0,18683.0,4864.0,,
ADANIPOWER,Mar 2016,True,7.38,706.07,7468.0,2239.95,165.27,551.0,7468.0,52729.0,25377.0,5560.0,35.83,
ADANIPOWER,Mar 2017,True,-205.8,1749.47,3000.0,777.81,-1600.73,-6174.0,3000.0,52484.0,22616.0,5902.0,-10.88,-1220.51
ADANIPOWER,Mar 2018,True,-236.56,5943.19,889.0,230.49,-545.24,-2103.0,889.0,52835.0,20304.0,5570.0,-10.22,
ADANIPOWER,Mar 2019,True,-12.76,609.18,7712.0,1999.48,-255.12,-984.0,7712.0,46980.0,23884.0,5657.0,17.63,
ADANIPOWER,Mar 2020,True,-35.1,851.7,6481.0,1680.32,-589.84,-2275.0,6481.0,55199.0,26468.0,5315.0,10.82,
ADANIPOWER,Mar 2021,True,9.69,399.69,13113.0,3399.79,329.27,1270.0,13113.0,52411.0,26221.0,5106.0,-0.93,
ADANIPOWER,Mar 2022,True,26.61,266.27,18457.0,4785.33,1273.53,4912.0,18457.0,49145.0,27711.0,4095.0,5.68,286.77
ADANIPOWER,Mar 2023,True,35.91,141.75,29876.0,7745.92,2781.18,10727.0,29876.0,42350.0,38773.0,3334.0,39.92,118.38
