symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
BAJAJHFL,2026-05-27,86.02,2026-06-01,84.05,-2.29,0.51,hold_expiry,86.0199966430664,3.57,41.6,0.52,5.87,-1.33,8.32,2026-05
BALKRISIND,2026-05-07,2258.4,2026-05-12,2145.48,-5.0,1.84,stop_loss,2258.39990234375,4.51,40.0,0.63,6.87,1.61,9.49,2026-05
BALKRISIND,2026-05-27,2194.7,2026-06-01,2167.7,-1.23,7.14,hold_expiry,2194.699951171875,4.58,42.9,0.73,3.64,-0.24,8.34,2026-05
BALRAMCHIN,2026-02-26,461.3,2026-03-06,480.95,4.26,9.09,hold_expiry,461.29998779296875,2.88,59.3,0.95,3.96,9.74,13.01,2026-02
BALRAMCHIN,2026-04-15,485.35,2026-04-22,541.55,11.58,12.18,hold_expiry,485.3500061035156,5.57,49.7,0.85,6.12,-0.13,8.15,2026-04
BALRAMCHIN,2026-05-11,525.4,2026-05-18,541.1,2.99,6.95,hold_expiry,525.4000244140625,4.94,57.6,0.83,4.89,10.49,14.41,2026-05
BALRAMCHIN,2026-05-21,537.45,2026-05-28,530.2,-1.35,0.79,hold_expiry,537.4500122070312,4.61,58.9,0.94,7.29,4.14,8.82,2026-05
BANDHANBNK,2026-06-01,207.14,2026-06-01,207.14,0.0,0.0,hold_expiry,207.13999938964844,2.51,65.7,0.75,7.86,0.34,13.21,2026-06
BANKBARODA,2026-05-28,270.95,2026-06-01,264.35,-2.44,1.13,hold_expiry,270.95001220703125,1.2,59.1,0.91,4.38,2.84,6.18,2026-05
BANKINDIA,2026-03-02,166.85,2026-03-04,158.51,-5.0,0.0,stop_loss,166.84970092773438,3.4,57.2,0.93,4.87,9.04,13.19,2026-03
BANKINDIA,2026-05-25,141.39,2026-06-01,136.74,-3.29,1.96,hold_expiry,141.3913116455078,0.84,61.8,0.89,7.33,1.22,6.46,2026-05
MAHABANK,2026-02-18,68.99,2026-02-25,74.08,7.38,8.42,hold_expiry,68.98999786376953,0.32,60.6,0.8,7.7,7.98,9.14,2026-02
MAHABANK,2026-05-22,80.04,2026-05-29,79.27,-0.96,2.7,hold_expiry,80.04000091552734,6.82,52.0,0.59,5.58,0.36,10.84,2026-05
BATAINDIA,2026-05-06,724.95,2026-05-13,701.3,-3.26,1.46,hold_expiry,724.9500122070312,6.94,38.7,0.62,2.49,2.95,10.93,2026-05
BAYERCROP,2026-02-25,4727.9,2026-03-04,4491.5,-5.0,0.8,stop_loss,4727.89990234375,4.81,65.6,0.97,2.93,8.38,13.75,2026-02
BAYERCROP,2026-04-08,4811.1,2026-04-16,4931.1,2.49,5.24,hold_expiry,4811.10009765625,0.18,62.2,0.96,5.15,7.78,9.66,2026-04
BAYERCROP,2026-04-21,4822.7,2026-04-28,4600.4,-4.61,0.85,hold_expiry,4822.7001953125,4.75,68.0,0.95,5.15,7.94,13.4,2026-04
BAYERCROP,2026-05-01,4764.1,2026-05-08,4610.0,-3.23,1.44,hold_expiry,4764.10009765625,5.9,47.2,0.6,4.89,0.09,8.54,2026-05
BERGEPAINT,2026-05-04,470.3,2026-05-11,493.85,5.01,10.98,hold_expiry,470.29998779296875,4.02,55.9,0.36,5.36,9.12,14.4,2026-05
BERGEPAINT,2026-06-01,512.9,2026-06-01,512.9,0.0,0.0,hold_expiry,512.9000244140625,5.08,58.4,0.58,7.07,8.99,13.88,2026-06
BDL,2026-05-05,1398.6,2026-05-12,1328.67,-5.0,5.91,stop_loss,1398.5999755859375,3.59,61.0,0.75,6.45,13.16,12.42,2026-05
BEL,2026-02-18,445.8,2026-02-25,437.44,-1.88,0.35,hold_expiry,445.8021545410156,2.67,52.7,0.76,5.69,11.19,12.33,2026-02
BEL,2026-03-02,452.03,2026-03-10,463.35,2.51,4.74,hold_expiry,452.0256652832031,1.32,60.5,0.9,6.12,3.42,5.4,2026-03
BEL,2026-04-15,447.65,2026-04-22,448.7,0.23,3.74,hold_expiry,447.6499938964844,1.05,61.7,0.9,5.82,1.88,13.13,2026-04
BHARATFORG,2026-04-15,1831.6,2026-04-22,1903.2,3.91,5.1,hold_expiry,1831.5999755859375,0.96,61.6,0.84,7.74,9.34,13.14,2026-04
BHARATFORG,2026-05-05,1866.6,2026-05-12,1913.0,2.49,9.5,hold_expiry,1866.5999755859375,4.27,56.6,0.75,7.24,11.69,13.16,2026-05
BHARATFORG,2026-05-25,1918.3,2026-06-01,1922.7,0.23,2.7,hold_expiry,1918.300048828125,6.15,56.5,0.66,6.31,1.24,9.0,2026-05
BHEL,2026-03-20,262.05,2026-03-30,248.95,-5.0,1.81,stop_loss,262.04998779296875,3.07,48.4,0.59,6.95,1.85,7.33,2026-03
BHEL,2026-05-29,416.75,2026-06-01,404.8,-2.87,0.25,hold_expiry,416.75,1.92,59.0,0.55,3.65,10.53,13.59,2026-05
BPCL,2026-02-23,372.1,2026-03-02,374.8,0.73,4.78,hold_expiry,372.1000061035156,4.99,48.9,0.71,5.27,7.05,13.15,2026-02
BPCL,2026-05-27,307.15,2026-05-29,291.79,-5.0,1.58,stop_loss,307.1499938964844,3.09,49.7,0.74,5.97,2.23,11.51,2026-05
BHARTIARTL,2026-04-29,1888.1,2026-05-06,1833.7,-2.88,0.95,hold_expiry,1888.0999755859375,0.65,56.7,0.91,5.15,5.93,6.7,2026-04
BHARTIARTL,2026-05-28,1852.2,2026-06-01,1810.6,-2.25,0.42,hold_expiry,1852.199951171875,5.2,52.4,0.81,3.05,-1.83,10.69,2026-05
BHARTIHEXA,2026-05-21,1568.9,2026-05-29,1490.46,-5.0,1.24,stop_loss,1568.9000244140625,3.33,58.3,0.87,7.84,2.33,11.17,2026-05
BIKAJI,2026-04-08,639.65,2026-04-16,641.8,0.34,1.4,hold_expiry,639.6500244140625,0.98,56.5,0.89,6.01,5.58,6.03,2026-04
