date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-18 10:19:07.884933,LICI,SELL,45.37493747711182,779.0,9.292616,37.9798,0.0,🟠 WEAK SELL,0,Financial Services,427.45001220703125,,,-45.13,,,92.9,27.2,16.6,57.1,50.0,61.9,40.9,BEAR,67.1,53.0,TACTICAL,,,,,
2026-05-18 10:19:07.888782,UCOBANK,SELL,44.694599975585945,24.55,11.108597,8.631,0.0,🟠 WEAK SELL,0,Financial Services,25.40999984741211,,,3.5,,,75.0,24.5,3.2,52.7,50.0,48.2,39.5,BEAR,51.2,86.3,CORE,,,,,
2026-05-18 10:19:07.892602,NMDC,WEAK SELL,44.309937477111816,89.22,11.364331,22.03,11.21,🟠 WEAK SELL,0,Basic Materials,90.66999816894531,,,1.63,,,90.3,43.1,26.4,74.1,50.0,69.8,39.3,BEAR,54.7,80.9,CORE,,,,,
2026-05-18 10:19:07.894469,INDIANB,SELL,43.95582716430056,808.35,9.304373,15.442,0.0,🟠 WEAK SELL,0,Financial Services,833.5499877929688,,,3.12,,,83.4,19.8,9.7,43.8,50.0,58.8,39.2,BEAR,78.2,82.7,CORE,,,,,
2026-05-18 18:11:33.451123,VEDL,STRONG BUY,83.8,327.0,18.227425,20.404,48.044,BUY (SWAP),0,Basic Materials,344.8999938964844,,,5.47,,,81.1,19.4,18.1,69.8,50.0,12.0,76.6,SIDEWAYS,54.4,65.8,TACTICAL,,,,,
2026-05-18 18:11:33.453489,OLAELEC,NEW POSITION,78.26,34.93,0.0,-18.065,71.879,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,37.58000183105469,,,7.59,,,36.1,25.6,5.0,61.7,50.0,6.0,76.4,SIDEWAYS,3.2,24.6,TACTICAL,,,,,
2026-05-18 18:11:33.455464,GODFRYPHLP,NEW POSITION,76.96,2314.9,27.833353,26.593,3.757,🟢 BUY (VALUE) (SIDEWAYS-Q1: MEDIUM),0,Consumer Defensive,2298.39990234375,,,-0.71,,,89.4,63.9,41.8,64.3,50.0,15.4,69.1,SIDEWAYS,100.0,14.7,TACTICAL,,,,,
2026-05-18 18:11:33.457443,BLUEJET,NEW POSITION,76.5,421.05,24.899467,26.935,1.643,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Healthcare,499.54998779296875,,,18.64,,,86.3,36.5,4.8,59.0,50.0,16.2,68.3,SIDEWAYS,5.2,34.2,TACTICAL,,,,,
2026-05-18 18:11:33.459267,TARIL,NEW POSITION,75.71,292.45,33.195232,19.335,29.595,🟢 STRONG BUY (SIDEWAYS-Q1: MEDIUM),0,Industrials,321.0,,,9.76,,,70.0,19.4,3.5,55.1,50.0,12.7,72.3,SIDEWAYS,32.9,20.0,TACTICAL,,,,,
2026-05-18 18:11:33.461377,NEWGEN,NEW POSITION,75.59,458.8,21.733774,18.251,2.214,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Technology,435.95001220703125,,,-4.98,,,81.6,31.0,38.4,54.6,50.0,16.4,71.8,SIDEWAYS,27.6,39.5,TACTICAL,,,,,
2026-05-18 18:11:33.463480,RPOWER,NEW POSITION,75.49000000000001,26.7,38.695652,18.0437,92.224,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Utilities,26.690000534057617,,,-0.04,,,54.7,25.4,12.1,58.7,50.0,9.3,74.7,SIDEWAYS,56.0,40.0,TACTICAL,,,,,
2026-05-18 18:11:33.465559,ABFRL,NEW POSITION,75.16,61.96,9.993548,-5.5169,84.682,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,64.87000274658203,,,4.7,,,45.5,31.3,0.0,51.2,50.0,12.0,69.8,SIDEWAYS,47.3,76.0,TACTICAL,,,,,
2026-05-18 18:11:33.470572,HINDCOPPER,NEW POSITION,73.3,581.15,84.963455,30.602,3.319,🟢 BUY (SIDEWAYS-Q1: MEDIUM),0,Basic Materials,556.0,,,-4.33,,,72.4,55.8,29.4,75.8,50.0,25.7,65.1,SIDEWAYS,100.0,20.0,TACTICAL,,,,,
2026-05-18 18:11:33.472695,FIRSTCRY,NEW POSITION,72.26,216.91,188.67873199999997,-4.0382,31.483,🟢 BUY (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,237.11000061035156,,,9.31,,,36.6,19.0,0.0,51.5,50.0,15.4,69.9,SIDEWAYS,70.9,28.2,TACTICAL,,,,,
2026-05-18 18:11:33.474549,GROWW,SELL,67.52,183.82,54.064705,28.718,3.028,[POLICY OVERRIDE] action=SELL | raw=🟢 BUY,0,Financial Services,188.77000427246094,,,2.69,,,74.5,23.8,0.4,56.7,50.0,28.0,62.8,SIDEWAYS,100.0,0.0,TACTICAL,,,,,
2026-05-18 18:11:33.481424,PCBL,SELL,64.0,267.5,39.62963,5.125,124.132,[POLICY OVERRIDE] action=SELL | raw=🟢 BUY,0,Basic Materials,289.6000061035156,,,8.26,,,35.6,23.9,4.8,56.5,50.0,33.1,60.3,SIDEWAYS,0.0,32.6,TACTICAL,,,,,
2026-05-18 18:11:33.483924,HEXT,HOLD,63.19,486.95,21.584663,22.272,10.521,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (VALUE),0,Technology,507.8999938964844,,,4.3,,,89.9,54.6,1.8,72.9,50.0,25.2,62.4,SIDEWAYS,60.2,38.8,TACTICAL,,,,,
2026-05-18 18:11:33.490126,BAJAJHLDNG,HOLD,53.52,10367.0,11.972929,12.624,0.012,🟡 HOLD,0,Financial Services,10705.0,,,3.26,,,84.6,44.3,4.2,66.8,50.0,49.6,49.3,SIDEWAYS,50.5,80.4,CORE,,,,,
